username,mal_id,score
-Ayu,889,7
-Ayu,7059,4
-Ayu,11285,4
-Ayu,34618,7
-Ayu,11633,7
-Ayu,10490,1
-Ayu,33985,1
-Ayu,31043,5
-Ayu,31964,8
-Ayu,33486,9
-Ayu,35712,3
-Ayu,1639,2
-Ayu,819,6
-Ayu,10719,4
-Ayu,1222,6
-Ayu,21405,6
-Ayu,1690,9
-Ayu,357,4
-Ayu,28755,7
-Ayu,1681,7
-Ayu,6772,8
-Ayu,8514,8
-Ayu,15605,3
-Ayu,14345,6
-Ayu,31478,6
-Ayu,32867,8
-Ayu,33475,3
-Ayu,1689,7
-Ayu,10163,5
-Ayu,12293,4
-Ayu,232,9
-Ayu,371,6
-Ayu,33354,9
-Ayu,35320,8
-Ayu,4981,8
-Ayu,28999,6
-Ayu,32483,3
-Ayu,10800,8
-Ayu,14397,9
-Ayu,59,7
-Ayu,60,6
-Ayu,14741,7
-Ayu,18671,6
-Ayu,34382,7
-Ayu,2167,7
-Ayu,4181,8
-Ayu,6351,7
-Ayu,4059,6
-Ayu,8888,6
-Ayu,1575,10
-Ayu,2904,10
-Ayu,8142,8
-Ayu,31318,4
-Ayu,35756,8
-Ayu,31147,5
-Ayu,15037,2
-Ayu,1,9
-Ayu,5,8
-Ayu,25731,7
-Ayu,15109,5
-Ayu,36976,5
-Ayu,1482,8
-Ayu,32370,7
-Ayu,61,7
-Ayu,31636,6
-Ayu,36049,4
-Ayu,29976,5
-Ayu,33028,6
-Ayu,16592,4
-Ayu,11843,8
-Ayu,8915,5
-Ayu,2025,7
-Ayu,35849,6
-Ayu,15583,5
-Ayu,19163,2
-Ayu,32494,8
-Ayu,34497,3
-Ayu,1535,7
-Ayu,28223,7
-Ayu,33988,8
-Ayu,9379,4
-Ayu,5177,5
-Ayu,8086,7
-Ayu,16512,5
-Ayu,35928,4
-Ayu,17513,2
-Ayu,32271,3
-Ayu,552,8
-Ayu,2961,7
-Ayu,25687,7
-Ayu,34543,4
-Ayu,10155,5
-Ayu,21743,5
-Ayu,30346,8
-Ayu,23333,2
-Ayu,3230,3
-Ayu,28121,6
-Ayu,6746,8
-Ayu,27833,8
-Ayu,23199,7
-Ayu,27831,8
-Ayu,34771,2
-Ayu,2924,7
-Ayu,226,4
-Ayu,32901,4
-Ayu,2759,7
-Ayu,3784,7
-Ayu,3785,7
-Ayu,36245,2
-Ayu,6702,8
-Ayu,22043,8
-Ayu,12049,5
-Ayu,30778,8
-Ayu,9982,7
-Ayu,18393,5
-Ayu,15883,4
-Ayu,14829,5
-Ayu,27525,5
-Ayu,20509,5
-Ayu,356,5
-Ayu,22297,8
-Ayu,28701,8
-Ayu,10087,7
-Ayu,11741,8
-Ayu,317,8
-Ayu,408,4
-Ayu,2782,4
-Ayu,227,9
-Ayu,31376,7
-Ayu,9314,5
